id,element,pd,auto,conformance,cardinality,values,page
2.9.2,Address line(s),,,Mandatory,1..1,Free text,46
2.9.3,Suburb/Town/ Townland/Locality,,,Required,0..1,Free text,47
2.9.4,District/ County,,,Mandatory,1..1,Coded Value,47
2.9.5,Country,,,Mandatory,1..1,Coded value,47
2.10,Communication details (cluster),,,Required,0..1,,47
2.10.1,Telephone number,,,Required,0..*,Numeric and may include the + symbol,47
2.10.2,Email address,,,Required,0..*,Alpha-numeric,48
2.10.3,Other Communication details (cluster),,,Optional,0..*,,48
2.10.3.1,Communication details – Type,,,Optional,0..*,Coded value,49
2.10.3.2,Communication Details – Value,,,Optional,0..*,Alpha-numeric,49
2.11,Location ID (GLN),,,Required,0..1,Numeric,49
2.12,GMS Panel ID,,,Optional,0..1,Numeric,50
3.1,Forename of nominated contact person,,,Required,0..1,Free text,52
3.2,Surname of nominated contact person,,,Required,0..1,Free text,52
3.3,Role of the nominated contact person,,,Required,0..*,Coded value,52
3.4,Relationship,,,Required,0..1,Coded value,53
3.5,Communication details of nominated contact person (cluster),,,Required,0..1,,53
3.5.1,Mobile phone number of nominated contact person,,,Required,0..1,Numeric and may include the + symbol,53
3.5.2,Landline phone number of nominated contact person,,,Required,0..1,Numeric and may include the + symbol,54
3.5.3,Email address of nominated contact person,,,Required,0..1,Alpha-numeric Character to include @ symbol,54
3.6,Address of nominated contact person (cluster),,,Optional,0..1,,54
3.6.1,Postcode,,,Required,0..1,Alpha-numeric,55
3.6.2,Address line(s),,,Mandatory,1..1,Free text,55
3.6.3,Suburb/ Town/ Townland/ Locality,,,Required,0..1,Free text,56
3.6.4,District/ County/ City (if outside Ireland).,,,Mandatory,1..1,Coded Value,56
3.6.5,Country,,,Required,0..1,Coded value,56
3.7,Preferred communication type for nominated contact person,,,Required,0..1,Coded value,56
4.1,Generated Narrative,,,Optional,0..1,Free text,59
4.2,Alerts empty reason,,,Required,0..1,Coded value,59
4.3,Alerts (record entry),,,Required,0..*,,59
4.3.1,Time period of alert,,,Required,0..1,Period,59
4.3.2,Alert status,,,Mandatory,1..1,Coded value,60
4.3.3,Alert,,,Optional,0..1,Coded value,60
4.3.4,Description of alert,,,Required,0..1,Free text,60
4.3.5,Alert priority,,,Optional,0..1,Coded value,60
4.4.6,Source of alert information,,,Optional,0..*,Coded value,60
4.5,Note,,,Optional,0..1,Free text,61
5.1,Generated Narrative,,,Optional,0..1,Free text,63
5.2,Allergies and intolerances empty reason,,,Required,0..1,Coded value,63
5.3,Allergies and intolerances (record entry),,,Required,0..*,,63
5.3.1,Allergies or intolerances status,,,Mandatory,1..1,Coded value,63
5.3.2,Causative agent or allergen,,,Mandatory,1..1,Coded value,64
5.3.3,Onset date,,,Required,0..1,Datetime,64
5.3.4,End date,,,Required,0..1,Datetime,64
5.3.5,Certainty,,,Optional,0..1,Coded value,65
5.3.6,Note,,,Optional,0..1,Free text,65
5.3.7,Reaction (Cluster),,,Required,0..*,,65
5.3.7.1,Allergen,,,Mandatory,1..1,Coded value,65
5.3.7.2,Description of reaction,,,Required,0..*,Free text,66
5.3.7.3,Type of reaction,,,Optional,0..1,Coded value,66
5.3.7.4,Severity,,,Required,0..1,Coded value,66
